index,source_filename,asset_id,semantic_role,original_size,original_mode,original_has_real_alpha,final_file,final_size,final_mode,final_has_alpha,processing,source_sha256
1,8891bcfd-5a33-4b61-a577-afca8f3a4e77.png,design_reference,完整目标界面设计参考，仅用于视觉比对，禁止作为整页 UI 背景,941x1672,RGB,False,reference/design_reference.png,941x1672,RGB,False,原样保留,eb954f512f40b89afe91ce6a969bb7f10426e88d7cd4a49555344d14e097cbe7
2,"ChatGPT Image Jun 24, 2026, 07_35_27 PM.png",shopping_bag,人物右侧蓝色购物袋道具,1024x1024,RGBA,True,assets/props/midground/prop_shopping_bag_blue.png,753x820,RGBA,True,保留原始 Alpha；已按透明内容裁剪并保留边缘留白,18219a39697c5efac48e170becfda8fab58c698e210fd2b6c3f3ac9806292089
3,"ChatGPT Image Jun 24, 2026, 07_47_54 PM.png",room_background,精灵空间全屏房间背景，不含人物与功能 UI,941x1672,RGB,False,assets/background/sprite_room_background.png,941x1672,RGB,False,原样保留,d6030f9f515869bf95f63b8d07fe38c542418e0a2a3849adcc6602a6623032b8
4,"ChatGPT Image Jun 24, 2026, 07_48_00 PM.png",smart_guide_blackboard,人物左后方智能导购黑板,1086x1448,RGB,False,assets/props/background/prop_smart_guide_blackboard.png,728x1169,RGBA,True,原图没有真实 Alpha；已将白色/棋盘格背景转换为真实透明通道；已按透明内容裁剪并保留边缘留白,031eb624b0f633ede5abe331a8093afb32aa1ded43ec76ca0efec3a68b61c9de
5,"ChatGPT Image Jun 24, 2026, 07_48_24 PM.png",discovery_globe,人物左侧“好物发现”水晶球,1024x1536,RGBA,True,assets/props/midground/prop_discovery_globe.png,1024x1501,RGBA,True,保留原始 Alpha；已按透明内容裁剪并保留边缘留白,53d222d19c3b1c4d5a1b2df8437427f295cdb5c50f04120e7ee93a3966bbfc83
6,"ChatGPT Image Jun 24, 2026, 08_08_39 PM.png",avatar_presenting_home_advisor,绿色家居顾问服装下的展示姿态人物,1024x1536,RGBA,True,assets/avatar/outfits/home_advisor/avatar_presenting_home_advisor.png,1200x1600,RGBA,True,保留原始 Alpha；已统一为 1200×1600 画布并统一脚底锚点,7c50cb6c3c64218d8169bc730bd4a2635ebe306528d0d47bb39d04d49c91b547
7,"ChatGPT Image Jun 24, 2026, 08_20_57 PM.png",avatar_presenting_default,米色默认服装下的展示/默认待机姿态人物,1122x1402,RGB,False,assets/avatar/states/default/avatar_presenting_default.png,1200x1600,RGBA,True,原图没有真实 Alpha；使用 GrabCut 前景分割保留浅色衣物；已统一为 1200×1600 画布并统一脚底锚点,dd058c9552e0d61ee43a997c3ff89fe6ee958c53eda4cd685b0f8942f0f6c3d4
8,"ChatGPT Image Jun 24, 2026, 08_41_21 PM.png",avatar_apologizing_default,米色默认服装下的道歉/错误状态人物,1024x1536,RGBA,True,assets/avatar/states/default/avatar_apologizing_default.png,1200x1600,RGBA,True,保留原始 Alpha；已统一为 1200×1600 画布并统一脚底锚点,34e0faf6f2bd90f34348cb66e5603083cab8748d390dc0ee9d736b3bfa0d103f
9,"ChatGPT Image Jun 24, 2026, 08_41_45 PM.png",avatar_celebrating_default,米色默认服装下的开心庆祝状态人物,1024x1536,RGBA,True,assets/avatar/states/default/avatar_celebrating_default.png,1200x1600,RGBA,True,保留原始 Alpha；已统一为 1200×1600 画布并统一脚底锚点,cccab90c53963849d103fb6866715556cfe13e7082e239f34b35b0feffd94540
10,"ChatGPT Image Jun 24, 2026, 09_05_18 PM.png",avatar_listening_default,米色默认服装下的倾听状态人物,1122x1402,RGB,False,assets/avatar/states/default/avatar_listening_default.png,1200x1600,RGBA,True,原图没有真实 Alpha；使用 GrabCut 前景分割保留浅色衣物；已统一为 1200×1600 画布并统一脚底锚点,02304e4c0b1e76a8a08d0d8826a538da63f8dfeaecb7c54a31df98e9147a605e
11,"ChatGPT Image Jun 24, 2026, 11_40_57 PM.png",avatar_searching_default,米色默认服装下翻找蓝色购物包的搜索状态人物,1122x1402,RGB,False,assets/avatar/states/default/avatar_searching_default.png,1200x1600,RGBA,True,原图没有真实 Alpha；使用 GrabCut 前景分割保留浅色衣物；已统一为 1200×1600 画布并统一脚底锚点,9423ace02b7a54b654b26c60371a8aab8584f4c30cbc366a78bc6255d1112200
12,"ChatGPT Image Jun 24, 2026, 11_57_26 PM.png",avatar_thinking_default,米色默认服装下的思考状态人物,1122x1402,RGB,False,assets/avatar/states/default/avatar_thinking_default.png,1200x1600,RGBA,True,原图没有真实 Alpha；使用 GrabCut 前景分割保留浅色衣物；已统一为 1200×1600 画布并统一脚底锚点,9cee3da21e0abeb4ebac2a0fb63b4d6ff74e3e035fa99e655c41065cf1723f86
13,"ChatGPT Image Jun 25, 2026, 12_03_20 AM.png",effect_search_scan_ring_blue,搜索状态浅蓝色扫描环,1254x1254,RGB,False,assets/effects/search/effect_search_scan_ring_blue.png,797x774,RGBA,True,原图没有真实 Alpha；已将白色/棋盘格背景转换为真实透明通道；已按透明内容裁剪并保留边缘留白,ad44db5e560829cb64994a78d6f7bf6409767ae333e000d6682619b2358088f2
14,"ChatGPT Image Jun 25, 2026, 12_03_30 AM.png",effect_search_orbit_ring_gold_blue,搜索状态金蓝色轨道光环,1254x1254,RGB,False,assets/effects/search/effect_search_orbit_ring_gold_blue.png,537x320,RGBA,True,原图没有真实 Alpha；已将白色/棋盘格背景转换为真实透明通道；已按透明内容裁剪并保留边缘留白,84ab119365791aede4aecc4896a1866a91fe70126307d29625e0e97477abbafc
15,"ChatGPT Image Jun 25, 2026, 12_03_55 AM.png",effect_product_card_frame,商品卡片外部金蓝色发光边框特效，中心区域保持透明,1024x1536,RGBA,True,assets/effects/product/effect_product_card_frame.png,1024x1500,RGBA,True,保留原始 Alpha；已按透明内容裁剪并保留边缘留白,56d332861b459f66e440a60ea40e7c331d377d1dccce2fbc22c725eba57ff70f
16,"ChatGPT Image Jun 25, 2026, 12_04_42 AM.png",effect_portal_swirl,搜索或商品出现时的金蓝旋涡特效,1024x1024,RGBA,True,assets/effects/search/effect_portal_swirl.png,779x718,RGBA,True,保留原始 Alpha；已按透明内容裁剪并保留边缘留白,bc53ce5a1772002a8fa66706814ad9d1086b84c6bb97728a5524248aef8921c0
17,"ChatGPT Image Jun 25, 2026, 12_10_12 AM.png",effect_product_fly_trail,商品卡片从购物包飞出时的运动拖尾,1536x1024,RGBA,True,assets/effects/product/effect_product_fly_trail.png,1536x1024,RGBA,True,保留原始 Alpha；已按透明内容裁剪并保留边缘留白,21ae871f25208dc4f6ababb6bea237ed683072d4fa9567d1ed173b8af076fc48
18,"ChatGPT Image Jun 25, 2026, 12_12_22 AM.png",effect_reward_star,成长奖励、升级或底部奖励按钮使用的发光星星,1024x1536,RGBA,True,assets/effects/reward/effect_reward_star.png,1024x1536,RGBA,True,保留原始 Alpha；已按透明内容裁剪并保留边缘留白,6018dacb3efe86a8319c639ef017a65ad5f5beda33b2a4a1372cfcf6a96a9df3
